,state,No. of districts ,Population ,Population district 
0,Andhra Pradesh ,26,"4,95,77,103","19,06,812"
1,Arunachal Pradesh ,26,"13,83,727","53,220"
2,Assam ,35,"3,12,05,576","8,91,588"
3,Bihar ,38,"10,40,99,452","27,39,459"
4,Chhattisgarh ,33,"2,55,45,198","7,74,097"
5,Goa ,2,"14,58,545","7,29,273"
6,Gujarat ,33,"6,04,39,692","18,31,506"
7,Haryana ,22,"2,53,51,462","11,52,339"
8,Himachal Pradesh ,12,"68,64,602","5,72,050"
9,Jharkhand ,24,"3,29,88,134","13,74,506"
10,Karnataka ,31,"6,10,95,297","19,70,816"
11,Kerala ,14,"3,34,06,061","23,86,147"
12,Madhya Pradesh ,52,"7,26,26,809","13,96,669"
13,Maharashtra ,36,"11,23,74,333","31,21,509"
14,Manipur ,16,"25,70,390","1,60,649"
15,Meghalaya ,12,"29,66,889","2,47,241"
16,Mizoram ,11,"10,97,206","99,746"
17,Nagaland ,16,"19,78,502","1,23,656"
18,Odisha ,30,"4,19,74,218","13,99,141"
19,Punjab ,23,"2,77,43,338","12,06,232"
20,Rajasthan ,33,"6,85,48,437","20,77,225"
21,Sikkim ,6,"6,10,577","1,01,763"
22,Tamil Nadu ,38,"7,21,47,030","18,98,606"
23,Telangana ,33,"3,50,03,674","10,60,717"
24,Tripura ,8,"36,73,917","4,59,240"
25,Uttar Pradesh ,75,"19,98,12,341","26,64,165"
26,Uttarakhand ,13,"1,00,86,292","7,75,869"
27,West Bengal ,23,"9,12,76,115","39,68,527"
28,Andaman and Nicobar Islands ,3,"3,80,581","1,26,860"
29,Chandigarh ,1,"10,55,450","10,55,450"
30,Dadra and Nagar Haveli and Daman and Diu ,3,"5,86,956","1,95,652"
31,Jammu and Kashmir ,20,"1,22,58,093","6,12,905"
32,Ladakh ,2,"2,90,492","1,45,246"
33,Lakshadweep ,1,"64,473","64,473"
34,Delhi ,11,"1,67,87,941","15,26,176"
35,Puducherry ,4,"12,47,953","3,11,988"
36,Total,766,"1,21,05,76,856","15,80,388"
